id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","25-03-2021 12:00:00",PM2.5,60,106,76,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","25-03-2021 12:00:00",PM10,89,125,112,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","25-03-2021 12:00:00",NO2,14,28,19,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","25-03-2021 12:00:00",NH3,2,4,3,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","25-03-2021 12:00:00",SO2,1,36,17,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","25-03-2021 12:00:00",CO,7,39,24,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","25-03-2021 12:00:00",OZONE,1,69,14,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","25-03-2021 12:00:00",PM2.5,82,289,139,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","25-03-2021 12:00:00",PM10,129,239,160,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","25-03-2021 12:00:00",NO2,12,43,25,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","25-03-2021 12:00:00",NH3,4,6,5,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","25-03-2021 12:00:00",SO2,13,42,21,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","25-03-2021 12:00:00",CO,14,90,56,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","25-03-2021 12:00:00",OZONE,6,44,16,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","25-03-2021 12:00:00",PM2.5,35,500,182,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","25-03-2021 12:00:00",PM10,40,411,137,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","25-03-2021 12:00:00",NO2,42,95,60,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","25-03-2021 12:00:00",NH3,2,6,3,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","25-03-2021 12:00:00",SO2,3,16,9,NA
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","25-03-2021 12:00:00",CO,32,95,57,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","25-03-2021 12:00:00",OZONE,2,51,9,NA
22,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","25-03-2021 12:00:00",PM2.5,93,309,184,NA
23,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","25-03-2021 12:00:00",PM10,133,407,208,NA
24,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","25-03-2021 12:00:00",NO2,19,154,83,NA
25,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","25-03-2021 12:00:00",NH3,7,12,8,NA
26,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","25-03-2021 12:00:00",SO2,1,48,13,NA
27,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","25-03-2021 12:00:00",CO,26,111,77,NA
28,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","25-03-2021 12:00:00",OZONE,10,73,42,NA
29,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","25-03-2021 12:00:00",PM2.5,95,382,254,NA
30,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","25-03-2021 12:00:00",PM10,148,426,257,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
31,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","25-03-2021 12:00:00",NO2,15,93,39,NA
32,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","25-03-2021 12:00:00",NH3,1,12,5,NA
33,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","25-03-2021 12:00:00",SO2,53,56,54,NA
34,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","25-03-2021 12:00:00",CO,20,123,30,NA
35,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","25-03-2021 12:00:00",OZONE,1,64,17,NA
36,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","25-03-2021 12:00:00",PM2.5,77,392,238,NA
37,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","25-03-2021 12:00:00",PM10,140,434,249,NA
38,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","25-03-2021 12:00:00",NO2,11,118,53,NA
39,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","25-03-2021 12:00:00",NH3,NA,NA,NA,NA
40,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","25-03-2021 12:00:00",SO2,31,34,32,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
41,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","25-03-2021 12:00:00",CO,26,111,66,NA
42,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","25-03-2021 12:00:00",OZONE,18,26,21,NA
43,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","25-03-2021 12:00:00",PM2.5,33,265,79,NA
44,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","25-03-2021 12:00:00",PM10,51,114,83,NA
45,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","25-03-2021 12:00:00",NO2,6,6,6,NA
46,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","25-03-2021 12:00:00",NH3,3,4,4,NA
47,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","25-03-2021 12:00:00",SO2,1,19,7,NA
48,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","25-03-2021 12:00:00",CO,12,57,35,NA
49,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","25-03-2021 12:00:00",OZONE,17,132,53,NA
50,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","25-03-2021 12:00:00",PM2.5,112,312,232,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
51,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","25-03-2021 12:00:00",PM10,127,272,167,NA
52,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","25-03-2021 12:00:00",NO2,7,11,8,NA
53,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","25-03-2021 12:00:00",NH3,1,2,1,NA
54,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","25-03-2021 12:00:00",SO2,3,14,5,NA
55,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","25-03-2021 12:00:00",CO,26,54,35,NA
56,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","25-03-2021 12:00:00",OZONE,9,51,23,NA
57,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","25-03-2021 12:00:00",PM2.5,53,111,77,NA
58,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","25-03-2021 12:00:00",PM10,94,203,148,NA
59,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","25-03-2021 12:00:00",NO2,10,12,11,NA
60,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","25-03-2021 12:00:00",NH3,5,6,5,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
61,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","25-03-2021 12:00:00",SO2,5,8,6,NA
62,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","25-03-2021 12:00:00",CO,102,108,105,NA
63,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","25-03-2021 12:00:00",OZONE,27,55,35,NA
64,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","25-03-2021 12:00:00",PM2.5,82,313,168,NA
65,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","25-03-2021 12:00:00",NO2,2,3,3,NA
66,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","25-03-2021 12:00:00",SO2,5,9,7,NA
67,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","25-03-2021 12:00:00",CO,1,79,17,NA
68,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","25-03-2021 12:00:00",OZONE,4,4,4,NA
69,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","25-03-2021 12:00:00",PM2.5,83,227,157,NA
70,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","25-03-2021 12:00:00",PM10,143,267,212,NA
