id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","07-12-2020 07:00:00",PM2.5,50,129,77,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","07-12-2020 07:00:00",PM10,54,96,74,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","07-12-2020 07:00:00",NO2,11,25,16,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","07-12-2020 07:00:00",NH3,3,5,4,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","07-12-2020 07:00:00",SO2,14,19,17,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","07-12-2020 07:00:00",CO,7,35,21,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","07-12-2020 07:00:00",OZONE,36,78,42,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","07-12-2020 07:00:00",PM2.5,45,123,71,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","07-12-2020 07:00:00",PM10,60,111,87,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","07-12-2020 07:00:00",NO2,13,37,23,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","07-12-2020 07:00:00",NH3,2,2,2,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","07-12-2020 07:00:00",SO2,7,42,23,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","07-12-2020 07:00:00",CO,5,116,54,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","07-12-2020 07:00:00",OZONE,40,96,44,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","07-12-2020 07:00:00",PM2.5,2,17,7,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","07-12-2020 07:00:00",PM10,2,16,7,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","07-12-2020 07:00:00",NO2,11,30,22,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","07-12-2020 07:00:00",NH3,1,2,1,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","07-12-2020 07:00:00",SO2,5,10,7,NA
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","07-12-2020 07:00:00",CO,31,43,32,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","07-12-2020 07:00:00",OZONE,16,279,53,NA
22,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","07-12-2020 07:00:00",PM2.5,60,127,94,NA
