id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","04-12-2020 02:00:00",PM2.5,36,98,70,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","04-12-2020 02:00:00",PM10,41,100,77,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","04-12-2020 02:00:00",NO2,12,60,30,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","04-12-2020 02:00:00",NH3,3,5,4,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","04-12-2020 02:00:00",SO2,11,24,19,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","04-12-2020 02:00:00",CO,2,40,24,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","04-12-2020 02:00:00",OZONE,8,50,33,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-12-2020 02:00:00",PM2.5,61,157,97,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-12-2020 02:00:00",PM10,75,136,112,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-12-2020 02:00:00",NO2,20,38,26,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-12-2020 02:00:00",NH3,2,3,3,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-12-2020 02:00:00",SO2,10,42,22,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-12-2020 02:00:00",CO,28,82,47,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-12-2020 02:00:00",OZONE,19,118,69,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","04-12-2020 02:00:00",PM2.5,2,10,5,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","04-12-2020 02:00:00",PM10,1,16,7,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","04-12-2020 02:00:00",NO2,6,24,16,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","04-12-2020 02:00:00",NH3,1,2,1,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","04-12-2020 02:00:00",SO2,3,9,6,NA
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","04-12-2020 02:00:00",CO,28,40,35,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","04-12-2020 02:00:00",OZONE,24,31,27,NA
22,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","04-12-2020 02:00:00",PM2.5,83,203,138,NA
