id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","24-03-2021 11:00:00",PM2.5,49,96,64,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","24-03-2021 11:00:00",PM10,82,131,104,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","24-03-2021 11:00:00",NO2,11,34,18,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","24-03-2021 11:00:00",NH3,1,4,2,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","24-03-2021 11:00:00",SO2,3,25,16,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","24-03-2021 11:00:00",CO,12,60,32,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","24-03-2021 11:00:00",OZONE,1,89,13,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","24-03-2021 11:00:00",PM2.5,62,188,107,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","24-03-2021 11:00:00",PM10,117,237,148,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","24-03-2021 11:00:00",NO2,12,45,26,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","24-03-2021 11:00:00",NH3,3,6,4,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","24-03-2021 11:00:00",SO2,8,34,15,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","24-03-2021 11:00:00",CO,18,83,54,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","24-03-2021 11:00:00",OZONE,5,32,11,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","24-03-2021 11:00:00",PM2.5,44,145,93,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","24-03-2021 11:00:00",PM10,48,135,104,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","24-03-2021 11:00:00",NO2,33,98,56,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","24-03-2021 11:00:00",NH3,2,3,3,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","24-03-2021 11:00:00",SO2,6,16,10,NA
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","24-03-2021 11:00:00",CO,31,65,40,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","24-03-2021 11:00:00",OZONE,6,57,29,NA
22,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","24-03-2021 11:00:00",PM2.5,70,256,136,NA
23,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","24-03-2021 11:00:00",PM10,131,341,202,NA
24,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","24-03-2021 11:00:00",NO2,21,115,74,NA
25,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","24-03-2021 11:00:00",NH3,6,13,9,NA
26,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","24-03-2021 11:00:00",SO2,3,14,8,NA
27,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","24-03-2021 11:00:00",CO,15,94,53,NA
28,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","24-03-2021 11:00:00",OZONE,9,47,18,NA
29,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","24-03-2021 11:00:00",PM2.5,122,402,292,NA
30,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","24-03-2021 11:00:00",PM10,146,407,258,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
31,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","24-03-2021 11:00:00",NO2,14,93,38,NA
