id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","23-03-2021 11:00:00",PM2.5,40,72,58,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","23-03-2021 11:00:00",PM10,76,114,95,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","23-03-2021 11:00:00",NO2,11,25,16,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","23-03-2021 11:00:00",NH3,1,5,3,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","23-03-2021 11:00:00",SO2,3,25,17,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","23-03-2021 11:00:00",CO,11,58,21,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","23-03-2021 11:00:00",OZONE,3,89,46,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-03-2021 11:00:00",PM2.5,62,127,91,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-03-2021 11:00:00",PM10,117,180,140,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-03-2021 11:00:00",NO2,13,45,25,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-03-2021 11:00:00",NH3,3,5,4,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-03-2021 11:00:00",SO2,9,19,13,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-03-2021 11:00:00",CO,12,94,41,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-03-2021 11:00:00",OZONE,6,32,23,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","23-03-2021 11:00:00",PM2.5,49,130,80,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","23-03-2021 11:00:00",PM10,68,192,103,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","23-03-2021 11:00:00",NO2,26,81,52,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","23-03-2021 11:00:00",NH3,2,3,3,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","23-03-2021 11:00:00",SO2,2,28,10,NA
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","23-03-2021 11:00:00",CO,28,65,52,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","23-03-2021 11:00:00",OZONE,6,57,29,NA
22,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","23-03-2021 11:00:00",PM2.5,70,203,121,NA
23,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","23-03-2021 11:00:00",PM10,124,341,180,NA
24,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","23-03-2021 11:00:00",NO2,21,109,65,NA
25,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","23-03-2021 11:00:00",NH3,6,13,8,NA
26,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","23-03-2021 11:00:00",SO2,3,24,12,NA
27,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","23-03-2021 11:00:00",CO,15,104,42,NA
28,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","23-03-2021 11:00:00",OZONE,9,56,20,NA
29,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","23-03-2021 11:00:00",PM2.5,122,415,272,NA
30,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","23-03-2021 11:00:00",PM10,146,407,236,NA
