id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","08-12-2020 12:00:00",PM2.5,32,168,73,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","08-12-2020 12:00:00",PM10,38,114,73,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","08-12-2020 12:00:00",NO2,13,42,21,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","08-12-2020 12:00:00",NH3,2,4,3,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","08-12-2020 12:00:00",SO2,5,32,19,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","08-12-2020 12:00:00",CO,12,49,20,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","08-12-2020 12:00:00",OZONE,28,68,43,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","08-12-2020 12:00:00",PM2.5,37,93,65,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","08-12-2020 12:00:00",PM10,51,121,87,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","08-12-2020 12:00:00",NO2,11,48,24,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","08-12-2020 12:00:00",NH3,2,2,2,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","08-12-2020 12:00:00",SO2,7,25,13,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","08-12-2020 12:00:00",CO,11,102,62,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","08-12-2020 12:00:00",OZONE,36,88,54,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","08-12-2020 12:00:00",PM2.5,7,28,13,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","08-12-2020 12:00:00",PM10,8,30,16,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","08-12-2020 12:00:00",NO2,7,29,21,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","08-12-2020 12:00:00",NH3,1,2,1,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","08-12-2020 12:00:00",SO2,3,78,13,NA
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","08-12-2020 12:00:00",CO,31,43,36,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","08-12-2020 12:00:00",OZONE,13,82,33,NA
22,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","08-12-2020 12:00:00",PM2.5,70,271,117,NA
23,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","08-12-2020 12:00:00",PM10,74,245,116,NA
24,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","08-12-2020 12:00:00",NO2,36,127,67,NA
25,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","08-12-2020 12:00:00",NH3,2,2,2,NA
26,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","08-12-2020 12:00:00",SO2,15,18,15,NA
27,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","08-12-2020 12:00:00",CO,31,74,48,NA
28,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","08-12-2020 12:00:00",OZONE,11,97,59,NA
29,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","08-12-2020 12:00:00",PM2.5,45,310,154,NA
30,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","08-12-2020 12:00:00",PM10,62,189,117,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
31,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","08-12-2020 12:00:00",NO2,9,35,18,NA
32,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","08-12-2020 12:00:00",NH3,1,1,1,NA
33,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","08-12-2020 12:00:00",SO2,26,28,27,NA
34,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","08-12-2020 12:00:00",CO,30,99,50,NA
35,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","08-12-2020 12:00:00",OZONE,15,26,18,NA
36,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","08-12-2020 12:00:00",PM2.5,61,302,155,NA
37,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","08-12-2020 12:00:00",NO2,7,10,8,NA
38,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","08-12-2020 12:00:00",SO2,10,31,18,NA
39,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","08-12-2020 12:00:00",CO,15,120,35,NA
40,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","08-12-2020 12:00:00",OZONE,32,62,46,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
41,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","08-12-2020 12:00:00",PM2.5,43,305,127,NA
42,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","08-12-2020 12:00:00",PM10,73,152,101,NA
43,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","08-12-2020 12:00:00",NO2,7,8,7,NA
44,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","08-12-2020 12:00:00",NH3,4,4,4,NA
45,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","08-12-2020 12:00:00",SO2,2,21,7,NA
46,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","08-12-2020 12:00:00",CO,22,73,57,NA
47,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","08-12-2020 12:00:00",OZONE,3,173,29,NA
48,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","08-12-2020 12:00:00",PM2.5,51,321,159,NA
49,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","08-12-2020 12:00:00",PM10,63,463,190,NA
50,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","08-12-2020 12:00:00",NO2,24,46,30,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
51,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","08-12-2020 12:00:00",NH3,1,1,1,NA
52,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","08-12-2020 12:00:00",SO2,3,5,4,NA
53,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","08-12-2020 12:00:00",CO,70,109,88,NA
54,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","08-12-2020 12:00:00",OZONE,7,10,8,NA
55,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","08-12-2020 12:00:00",PM2.5,47,187,118,NA
56,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","08-12-2020 12:00:00",PM10,118,229,169,NA
57,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","08-12-2020 12:00:00",NO2,11,18,13,NA
58,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","08-12-2020 12:00:00",NH3,6,10,7,NA
59,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","08-12-2020 12:00:00",SO2,4,5,4,NA
60,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","08-12-2020 12:00:00",CO,56,104,67,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
61,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","08-12-2020 12:00:00",OZONE,12,145,24,NA
62,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","08-12-2020 12:00:00",PM2.5,318,451,378,NA
63,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","08-12-2020 12:00:00",NO2,2,6,3,NA
64,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","08-12-2020 12:00:00",SO2,13,19,17,NA
65,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","08-12-2020 12:00:00",CO,20,87,38,NA
66,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","08-12-2020 12:00:00",OZONE,15,16,16,NA
67,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","08-12-2020 12:00:00",PM2.5,125,336,271,NA
