id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","20-03-2021 09:00:00",PM2.5,37,71,53,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","20-03-2021 09:00:00",PM10,55,78,64,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","20-03-2021 09:00:00",NO2,11,21,14,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","20-03-2021 09:00:00",NH3,2,4,3,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","20-03-2021 09:00:00",SO2,4,56,19,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","20-03-2021 09:00:00",CO,11,29,20,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","20-03-2021 09:00:00",OZONE,4,62,9,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","20-03-2021 09:00:00",PM2.5,42,93,71,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","20-03-2021 09:00:00",PM10,66,131,93,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","20-03-2021 09:00:00",NO2,12,33,21,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","20-03-2021 09:00:00",NH3,2,4,3,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","20-03-2021 09:00:00",SO2,7,17,11,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","20-03-2021 09:00:00",CO,18,55,41,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","20-03-2021 09:00:00",OZONE,5,28,9,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","20-03-2021 09:00:00",PM2.5,61,140,81,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","20-03-2021 09:00:00",PM10,54,116,84,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","20-03-2021 09:00:00",NO2,16,141,61,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","20-03-2021 09:00:00",NH3,2,3,3,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","20-03-2021 09:00:00",SO2,6,33,12,NA
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","20-03-2021 09:00:00",CO,35,67,50,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","20-03-2021 09:00:00",OZONE,4,66,25,NA
22,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","20-03-2021 09:00:00",PM2.5,57,250,104,NA
23,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","20-03-2021 09:00:00",PM10,93,188,123,NA
24,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","20-03-2021 09:00:00",NO2,33,107,62,NA
25,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","20-03-2021 09:00:00",NH3,6,12,8,NA
26,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","20-03-2021 09:00:00",SO2,1,15,10,NA
27,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","20-03-2021 09:00:00",CO,14,105,35,NA
28,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","20-03-2021 09:00:00",OZONE,10,29,11,NA
29,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","20-03-2021 09:00:00",PM2.5,230,364,317,NA
30,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","20-03-2021 09:00:00",PM10,259,419,328,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
31,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","20-03-2021 09:00:00",NO2,10,79,38,NA
32,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","20-03-2021 09:00:00",NH3,1,8,3,NA
33,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","20-03-2021 09:00:00",SO2,48,50,48,NA
34,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","20-03-2021 09:00:00",CO,29,110,72,NA
35,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","20-03-2021 09:00:00",OZONE,1,49,2,NA
36,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","20-03-2021 09:00:00",PM2.5,205,386,311,NA
37,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","20-03-2021 09:00:00",PM10,239,466,344,NA
38,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","20-03-2021 09:00:00",NO2,11,114,53,NA
39,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","20-03-2021 09:00:00",SO2,30,33,31,NA
40,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","20-03-2021 09:00:00",CO,40,107,98,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
41,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","20-03-2021 09:00:00",OZONE,19,26,19,NA
42,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","20-03-2021 09:00:00",PM2.5,92,209,144,NA
43,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","20-03-2021 09:00:00",PM10,89,150,126,NA
44,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","20-03-2021 09:00:00",NO2,2,5,5,NA
45,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","20-03-2021 09:00:00",NH3,1,4,4,NA
46,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","20-03-2021 09:00:00",SO2,2,70,10,NA
47,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","20-03-2021 09:00:00",CO,24,74,60,NA
48,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","20-03-2021 09:00:00",OZONE,9,113,18,NA
49,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","20-03-2021 09:00:00",PM2.5,98,373,234,NA
50,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","20-03-2021 09:00:00",PM10,118,500,286,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
51,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","20-03-2021 09:00:00",NO2,4,8,7,NA
52,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","20-03-2021 09:00:00",NH3,1,1,1,NA
53,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","20-03-2021 09:00:00",SO2,3,6,4,NA
54,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","20-03-2021 09:00:00",CO,44,107,80,NA
55,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","20-03-2021 09:00:00",OZONE,1,52,5,NA
56,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","20-03-2021 09:00:00",PM2.5,NA,NA,NA,NA
57,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","20-03-2021 09:00:00",PM10,NA,NA,NA,NA
58,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","20-03-2021 09:00:00",NO2,NA,NA,NA,NA
59,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","20-03-2021 09:00:00",NH3,NA,NA,NA,NA
60,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","20-03-2021 09:00:00",SO2,NA,NA,NA,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
61,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","20-03-2021 09:00:00",CO,NA,NA,NA,NA
62,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","20-03-2021 09:00:00",OZONE,NA,NA,NA,NA
63,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","20-03-2021 09:00:00",PM2.5,161,356,305,NA
64,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","20-03-2021 09:00:00",NO2,2,3,2,NA
65,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","20-03-2021 09:00:00",SO2,1,8,4,NA
66,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","20-03-2021 09:00:00",CO,23,100,54,NA
67,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","20-03-2021 09:00:00",OZONE,2,7,4,NA
68,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","20-03-2021 09:00:00",PM2.5,119,367,281,NA
69,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","20-03-2021 09:00:00",PM10,153,283,199,NA
70,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","20-03-2021 09:00:00",NO2,4,4,6,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
71,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","20-03-2021 09:00:00",NH3,3,3,3,NA
72,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","20-03-2021 09:00:00",SO2,4,7,5,NA
73,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","20-03-2021 09:00:00",CO,34,98,49,NA
74,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","20-03-2021 09:00:00",OZONE,13,32,15,NA
75,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","20-03-2021 09:00:00",PM2.5,63,315,221,NA
76,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","20-03-2021 09:00:00",PM10,113,216,161,NA
77,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","20-03-2021 09:00:00",NO2,39,67,58,NA
78,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","20-03-2021 09:00:00",NH3,6,6,6,NA
79,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","20-03-2021 09:00:00",SO2,5,16,8,NA
80,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","20-03-2021 09:00:00",CO,27,74,54,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
81,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","20-03-2021 09:00:00",OZONE,1,72,1,NA
82,India,Bihar,Patna,"Muradpur, Patna - BSPCB","20-03-2021 09:00:00",PM2.5,NA,NA,NA,NA
83,India,Bihar,Patna,"Muradpur, Patna - BSPCB","20-03-2021 09:00:00",PM10,214,413,294,NA
84,India,Bihar,Patna,"Muradpur, Patna - BSPCB","20-03-2021 09:00:00",NO2,29,150,73,NA
85,India,Bihar,Patna,"Muradpur, Patna - BSPCB","20-03-2021 09:00:00",NH3,5,10,8,NA
86,India,Bihar,Patna,"Muradpur, Patna - BSPCB","20-03-2021 09:00:00",SO2,6,8,7,NA
87,India,Bihar,Patna,"Muradpur, Patna - BSPCB","20-03-2021 09:00:00",CO,30,75,54,NA
88,India,Bihar,Patna,"Muradpur, Patna - BSPCB","20-03-2021 09:00:00",OZONE,5,13,8,NA
89,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","20-03-2021 09:00:00",PM2.5,183,308,259,NA
90,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","20-03-2021 09:00:00",PM10,195,291,234,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
91,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","20-03-2021 09:00:00",NO2,42,106,67,NA
92,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","20-03-2021 09:00:00",NH3,1,4,2,NA
93,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","20-03-2021 09:00:00",SO2,8,21,15,NA
94,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","20-03-2021 09:00:00",CO,34,105,54,NA
95,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","20-03-2021 09:00:00",OZONE,2,84,13,NA
96,India,Bihar,Patna,"Samanpura, Patna - BSPCB","20-03-2021 09:00:00",PM2.5,NA,NA,NA,NA
97,India,Bihar,Patna,"Samanpura, Patna - BSPCB","20-03-2021 09:00:00",PM10,145,411,288,NA
