id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","23-03-2021 11:00:00",PM2.5,40,72,56,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","23-03-2021 11:00:00",PM10,76,112,96,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","23-03-2021 11:00:00",NO2,11,25,15,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","23-03-2021 11:00:00",NH3,1,5,3,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","23-03-2021 11:00:00",SO2,2,44,20,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","23-03-2021 11:00:00",CO,16,58,32,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","23-03-2021 11:00:00",OZONE,3,69,17,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-03-2021 11:00:00",PM2.5,61,500,117,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-03-2021 11:00:00",PM10,115,500,159,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-03-2021 11:00:00",NO2,18,42,26,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-03-2021 11:00:00",NH3,3,5,4,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-03-2021 11:00:00",SO2,10,19,12,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-03-2021 11:00:00",CO,12,94,45,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-03-2021 11:00:00",OZONE,6,27,11,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","23-03-2021 11:00:00",PM2.5,49,191,84,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","23-03-2021 11:00:00",PM10,68,192,100,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","23-03-2021 11:00:00",NO2,26,113,63,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","23-03-2021 11:00:00",NH3,2,3,3,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","23-03-2021 11:00:00",SO2,2,28,12,NA
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","23-03-2021 11:00:00",CO,28,60,39,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","23-03-2021 11:00:00",OZONE,11,74,26,NA
22,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","23-03-2021 11:00:00",PM2.5,64,198,112,NA
23,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","23-03-2021 11:00:00",PM10,115,271,167,NA
24,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","23-03-2021 11:00:00",NO2,26,109,71,NA
25,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","23-03-2021 11:00:00",NH3,6,13,8,NA
26,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","23-03-2021 11:00:00",SO2,1,24,13,NA
27,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","23-03-2021 11:00:00",CO,6,104,45,NA
28,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","23-03-2021 11:00:00",OZONE,9,49,16,NA
29,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","23-03-2021 11:00:00",PM2.5,104,415,273,NA
30,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","23-03-2021 11:00:00",PM10,153,385,247,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
31,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","23-03-2021 11:00:00",NO2,14,76,32,NA
32,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","23-03-2021 11:00:00",NH3,1,10,3,NA
33,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","23-03-2021 11:00:00",SO2,48,54,51,NA
34,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","23-03-2021 11:00:00",CO,31,107,65,NA
35,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB","23-03-2021 11:00:00",OZONE,1,41,5,NA
36,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","23-03-2021 11:00:00",PM2.5,90,395,275,NA
37,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","23-03-2021 11:00:00",PM10,161,423,286,NA
38,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","23-03-2021 11:00:00",NO2,10,125,44,NA
39,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","23-03-2021 11:00:00",SO2,30,32,31,NA
40,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","23-03-2021 11:00:00",CO,35,109,93,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
41,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","23-03-2021 11:00:00",OZONE,19,27,19,NA
42,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","23-03-2021 11:00:00",PM2.5,3,112,40,NA
43,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","23-03-2021 11:00:00",PM10,38,115,82,NA
44,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","23-03-2021 11:00:00",NO2,6,7,6,NA
45,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","23-03-2021 11:00:00",NH3,4,4,4,NA
46,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","23-03-2021 11:00:00",SO2,4,140,31,NA
47,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","23-03-2021 11:00:00",CO,14,76,47,NA
48,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","23-03-2021 11:00:00",OZONE,5,139,43,NA
49,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","23-03-2021 11:00:00",PM2.5,44,500,236,NA
50,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","23-03-2021 11:00:00",PM10,103,500,298,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
51,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","23-03-2021 11:00:00",NO2,5,11,7,NA
52,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","23-03-2021 11:00:00",NH3,1,1,1,NA
53,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","23-03-2021 11:00:00",SO2,1,11,5,NA
54,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","23-03-2021 11:00:00",CO,22,109,103,NA
55,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","23-03-2021 11:00:00",OZONE,1,57,30,NA
56,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","23-03-2021 11:00:00",PM2.5,NA,NA,NA,NA
57,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","23-03-2021 11:00:00",PM10,NA,NA,NA,NA
58,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","23-03-2021 11:00:00",NO2,NA,NA,NA,NA
59,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","23-03-2021 11:00:00",NH3,NA,NA,NA,NA
60,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","23-03-2021 11:00:00",SO2,NA,NA,NA,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
61,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","23-03-2021 11:00:00",CO,NA,NA,NA,NA
62,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","23-03-2021 11:00:00",OZONE,NA,NA,NA,NA
63,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","23-03-2021 11:00:00",PM2.5,96,365,280,NA
64,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","23-03-2021 11:00:00",NO2,2,3,3,NA
65,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","23-03-2021 11:00:00",SO2,1,9,6,NA
66,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","23-03-2021 11:00:00",CO,1,88,35,NA
67,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","23-03-2021 11:00:00",OZONE,4,4,4,NA
68,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","23-03-2021 11:00:00",PM2.5,NA,NA,NA,NA
69,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","23-03-2021 11:00:00",PM10,NA,NA,NA,NA
70,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","23-03-2021 11:00:00",NO2,NA,NA,NA,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
71,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","23-03-2021 11:00:00",NH3,NA,NA,NA,NA
72,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","23-03-2021 11:00:00",SO2,NA,NA,NA,NA
73,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","23-03-2021 11:00:00",CO,NA,NA,NA,NA
74,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","23-03-2021 11:00:00",OZONE,NA,NA,NA,NA
75,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","23-03-2021 11:00:00",PM2.5,83,447,284,NA
76,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","23-03-2021 11:00:00",PM10,146,426,207,NA
77,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","23-03-2021 11:00:00",NO2,34,96,61,NA
78,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","23-03-2021 11:00:00",NH3,5,6,5,NA
79,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","23-03-2021 11:00:00",SO2,7,18,9,NA
80,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","23-03-2021 11:00:00",CO,23,103,91,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
81,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","23-03-2021 11:00:00",OZONE,1,80,1,NA
82,India,Bihar,Patna,"Muradpur, Patna - BSPCB","23-03-2021 11:00:00",PM2.5,63,311,184,NA
83,India,Bihar,Patna,"Muradpur, Patna - BSPCB","23-03-2021 11:00:00",PM10,90,456,262,NA
84,India,Bihar,Patna,"Muradpur, Patna - BSPCB","23-03-2021 11:00:00",NO2,25,161,94,NA
85,India,Bihar,Patna,"Muradpur, Patna - BSPCB","23-03-2021 11:00:00",NH3,5,11,8,NA
86,India,Bihar,Patna,"Muradpur, Patna - BSPCB","23-03-2021 11:00:00",SO2,4,13,7,NA
87,India,Bihar,Patna,"Muradpur, Patna - BSPCB","23-03-2021 11:00:00",CO,24,103,74,NA
88,India,Bihar,Patna,"Muradpur, Patna - BSPCB","23-03-2021 11:00:00",OZONE,7,13,7,NA
89,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","23-03-2021 11:00:00",PM2.5,92,329,242,NA
90,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","23-03-2021 11:00:00",PM10,104,406,233,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
91,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","23-03-2021 11:00:00",NO2,37,103,69,NA
92,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","23-03-2021 11:00:00",NH3,NA,NA,NA,NA
93,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","23-03-2021 11:00:00",SO2,8,23,14,NA
94,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","23-03-2021 11:00:00",CO,20,122,74,NA
95,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","23-03-2021 11:00:00",OZONE,2,106,13,NA
96,India,Bihar,Patna,"Samanpura, Patna - BSPCB","23-03-2021 11:00:00",PM2.5,3,389,190,NA
97,India,Bihar,Patna,"Samanpura, Patna - BSPCB","23-03-2021 11:00:00",PM10,137,500,321,NA
98,India,Bihar,Patna,"Samanpura, Patna - BSPCB","23-03-2021 11:00:00",NO2,16,118,78,NA
99,India,Bihar,Patna,"Samanpura, Patna - BSPCB","23-03-2021 11:00:00",NH3,5,5,5,NA
100,India,Bihar,Patna,"Samanpura, Patna - BSPCB","23-03-2021 11:00:00",SO2,10,41,18,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
101,India,Bihar,Patna,"Samanpura, Patna - BSPCB","23-03-2021 11:00:00",CO,16,110,67,NA
102,India,Bihar,Patna,"Samanpura, Patna - BSPCB","23-03-2021 11:00:00",OZONE,2,128,30,NA
103,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","23-03-2021 11:00:00",PM2.5,5,34,14,NA
104,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","23-03-2021 11:00:00",PM10,42,301,83,NA
105,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","23-03-2021 11:00:00",NO2,12,60,34,NA
106,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","23-03-2021 11:00:00",NH3,11,34,17,NA
107,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","23-03-2021 11:00:00",SO2,2,34,11,NA
108,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","23-03-2021 11:00:00",CO,2,98,5,NA
109,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","23-03-2021 11:00:00",OZONE,3,32,19,NA
110,India,Delhi,Delhi,"Alipur, Delhi - DPCC","23-03-2021 11:00:00",PM2.5,58,314,166,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
111,India,Delhi,Delhi,"Alipur, Delhi - DPCC","23-03-2021 11:00:00",PM10,135,380,210,NA
112,India,Delhi,Delhi,"Alipur, Delhi - DPCC","23-03-2021 11:00:00",NO2,18,86,48,NA
113,India,Delhi,Delhi,"Alipur, Delhi - DPCC","23-03-2021 11:00:00",NH3,3,5,4,NA
114,India,Delhi,Delhi,"Alipur, Delhi - DPCC","23-03-2021 11:00:00",SO2,14,40,25,NA
115,India,Delhi,Delhi,"Alipur, Delhi - DPCC","23-03-2021 11:00:00",CO,50,77,66,NA
116,India,Delhi,Delhi,"Alipur, Delhi - DPCC","23-03-2021 11:00:00",OZONE,31,97,41,NA
117,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","23-03-2021 11:00:00",PM2.5,103,359,230,NA
118,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","23-03-2021 11:00:00",PM10,157,500,282,NA
119,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","23-03-2021 11:00:00",NO2,17,89,53,NA
120,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","23-03-2021 11:00:00",NH3,1,7,4,NA
